player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Tate Romney,70946,LB,ARIZONA ST,1,0,,,100.0,,,0,0,0,,110,63.9,65.0,68.5,,60.0,,0,,,0,0,0,0.0,0,8,8,0,0,0,0,0,0,0.0,
Silas Bolden,71674,WR,TEXAS,1,0,,,100.0,,,0,0,0,,311,60.0,62.4,60.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Sheldon Newton,71957,DI,BOISE ST,1,0,,,7.7,,,0,0,0,,120,59.4,59.5,75.7,67.2,56.8,72.4,0,,,0,0,0,0.0,0,1,13,1,0,0,0,0,0,0.0,
Lavario Wiley,72769,CB,UNLV,1,0,6.5,100.0,66.7,1.0,1.0,0,0,0,0.0,325,41.7,40.1,69.0,59.6,60.3,27.9,0,12,50.0,1,0,0,116.7,2,2,3,0,1,2,0,24,11,12.0,12.0
Marco Notarainni,73389,LB,BOISE ST,1,0,,,80.0,,,0,0,0,,120,47.9,64.4,75.1,73.2,71.6,55.9,0,,100.0,1,0,0,0.0,0,12,15,2,0,0,0,0,0,0.0,
Silas Walters,75263,S,MIAMI OH,1,0,13.1,57.1,100.0,7.5,4.3,0,0,1,14.3,221,72.3,70.6,79.7,,61.6,81.4,0,25,0.0,0,1,0,117.9,4,31,31,1,4,7,1,48,17,1.6,12.0
Dustin Johnson,83197,S,OHIO,1,0,20.5,0.0,96.3,,13.0,0,0,1,50.0,259,73.7,74.4,76.1,60.0,67.3,79.5,0,,,0,1,0,39.6,0,26,27,0,0,2,0,0,0,0.0,
Jarvis Ware,83314,CB,UNLV,1,0,14.0,100.0,100.0,7.5,7.5,0,0,0,0.0,325,61.3,63.2,74.3,,65.5,76.6,0,22,0.0,0,0,0,158.3,2,15,15,0,1,2,1,26,3,1.7,13.0
Rodney Robinson,86527,S,BOISE ST,1,1,3.5,100.0,87.2,16.5,16.5,0,0,0,0.0,120,68.4,63.5,77.9,62.0,51.9,45.9,0,10,0.0,0,0,0,93.8,2,34,39,2,2,2,0,13,6,0.4,6.5
Amir McDaniel,97087,CB,LA LAFAYET,1,0,0.7,100.0,100.0,8.7,8.7,0,0,0,0.0,207,66.4,66.9,78.8,,64.0,58.9,0,9,16.7,1,0,0,88.9,3,27,27,1,5,3,0,16,14,0.6,5.3
Brandon Crossley,97225,CB,SMU,1,0,17.6,55.6,100.0,9.0,5.0,0,0,1,11.1,287,53.1,57.0,76.8,,74.7,80.2,0,35,0.0,0,1,0,123.4,5,46,46,0,2,9,1,82,21,1.8,16.4
Jett Elad,97543,S,UNLV,1,2,5.7,33.3,100.0,14.5,4.8,0,0,1,16.7,325,80.9,71.4,78.5,,48.1,51.4,0,7,0.0,0,1,0,42.4,2,29,29,2,3,6,0,8,3,0.3,4.0
Matt Salopek,97704,LB,MIAMI OH,1,0,,,100.0,,,0,0,0,,221,66.7,60.6,76.1,,53.2,53.7,0,,,0,0,0,0.0,0,31,31,0,0,0,0,0,0,0.0,
J'Coryan Anderson,97891,LB,MARSHALL,1,0,,,50.0,,,0,0,0,,214,60.0,74.6,67.6,59.5,74.2,80.2,0,,,0,0,0,0.0,0,1,2,0,0,0,0,0,0,0.0,
Ricky Samuel,98115,DI,JVILLE ST,1,0,,,14.3,,,0,0,0,,196,59.2,61.9,72.8,57.7,66.4,,0,,,0,0,0,0.0,0,1,7,0,0,0,0,0,0,0.0,
Jahfari Harvey,98118,ED,SMU,1,0,-2.0,0.0,26.7,,8.0,0,0,0,0.0,287,63.2,74.6,80.4,69.3,72.9,75.7,0,,,0,0,0,39.6,0,8,30,1,0,1,0,0,0,0.0,
Jalen Catalon,98867,S,UNLV,1,0,26.0,100.0,100.0,29.0,29.0,0,1,0,0.0,325,58.0,63.4,76.7,,71.2,75.9,0,40,0.0,0,0,0,118.8,1,29,29,0,3,1,0,40,14,1.4,40.0
Malik Chavis,98870,S,UNLV,1,0,-4.0,100.0,100.0,8.0,8.0,0,0,0,0.0,325,50.8,53.2,71.4,,63.2,75.3,0,7,,0,0,0,95.8,1,8,8,0,0,1,0,7,11,0.9,7.0
Dan Jackson,98883,S,GEORGIA,1,1,5.0,50.0,100.0,23.5,11.8,0,0,0,0.0,173,45.6,49.2,78.3,,65.9,28.6,0,7,50.0,3,0,0,56.3,2,50,50,1,2,4,0,7,5,0.1,3.5
Jalen Geiger,98901,S,TULANE,1,0,,,100.0,,,0,0,0,,319,60.9,48.8,73.3,,43.4,37.1,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
David Gbenda,99370,LB,TEXAS,1,0,,,100.0,,,0,0,0,,311,62.2,88.2,72.8,,94.1,66.6,0,,50.0,1,0,0,0.0,0,11,11,0,1,0,0,0,0,0.0,
Darien Porter,99553,CB,IOWA STATE,1,0,20.0,0.0,93.3,,14.0,0,0,0,0.0,193,66.9,49.4,75.4,58.3,27.8,38.8,0,,0.0,0,0,0,39.6,0,14,15,0,1,1,0,0,0,0.0,
Keyshawn Swanson,100281,S,W KENTUCKY,1,0,13.0,100.0,100.0,15.0,15.0,0,0,0,0.0,346,46.7,55.4,73.2,,62.2,55.0,0,6,66.7,2,0,0,131.3,1,16,16,0,1,1,1,6,0,0.4,6.0
Curley Young Jr.,100559,LB,JVILLE ST,1,0,,,41.2,,,0,0,0,,196,61.8,39.6,0.0,53.7,43.2,36.1,0,,,0,0,1,0.0,0,7,17,0,0,0,0,0,0,0.0,
Jonathan McGill,100607,S,SMU,1,1,4.3,100.0,91.4,10.3,10.3,0,0,0,0.0,287,61.4,61.6,76.9,54.4,64.3,83.6,0,17,0.0,0,0,0,139.6,3,32,35,0,1,3,1,24,11,0.8,8.0
Markel Reed,101142,CB,BOISE ST,1,0,,,100.0,,,0,0,0,,120,60.0,63.3,66.0,,61.6,73.5,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Smith Vilbert,101408,ED,PENN STATE,1,0,,,11.1,,,0,0,0,,266,60.0,80.1,75.8,55.4,87.3,73.0,0,,,0,0,0,0.0,0,1,9,0,0,0,0,0,0,0.0,
Ben McNaboe,101505,ED,OHIO,1,1,12.0,100.0,16.7,3.0,3.0,0,0,0,0.0,259,50.1,56.3,77.8,67.5,53.9,73.1,0,15,0.0,0,0,0,118.8,1,3,18,0,0,1,0,15,3,5.0,15.0
Jestin Jacobs,101514,LB,OREGON,1,0,7.0,50.0,83.3,5.0,2.5,0,0,0,0.0,264,38.9,34.6,71.1,63.3,48.0,76.1,0,9,0.0,0,0,0,62.5,1,5,6,0,1,2,0,9,8,1.8,9.0
