player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Mason White,43872,S,OREGON ST,2,13,0,265,0,,,66.7,,,0,0,,44.4,0,,0.0,0,0,0.0,0,2,15.4,3,0,1,0,0,0,0,0.0,,0,0,,,90.9,,,0,0,,55.3,0,,0.0,0,0,0.0,0,10,76.9,11,0,1,0,0,0,0,0.0,
James Camden,53418,LB,W MICHIGAN,3,65,0,347,0,11.0,100.0,85.7,10.0,10.0,0,0,0.0,48.6,0,18,,0,0,158.3,1,12,18.5,14,0,0,1,1,18,7,1.8,18.0,0,2,-1.8,75.0,75.0,12.7,9.5,0,0,0.0,81.8,0,23,0.0,0,0,83.3,3,42,64.6,56,3,2,4,0,18,28,0.5,6.0
Iesa Jarmon,53981,CB,AKRON,1,8,0,102,0,,,100.0,,,0,0,,62.2,0,,,0,0,0.0,0,2,25.0,2,0,0,0,0,0,0,0.0,,0,0,18.0,100.0,100.0,4.0,4.0,0,0,0.0,52.7,0,12,,0,0,156.3,1,4,50.0,4,0,0,1,1,12,0,3.0,12.0
Shaun Myers,62235,LB,COLORADO,3,30,0,143,1,-2.5,100.0,85.7,8.5,8.5,0,0,0.0,64.5,0,4,0.0,0,0,118.8,2,18,60.0,21,0,1,2,1,5,10,0.3,2.5,0,0,9.7,66.7,100.0,6.0,4.0,0,0,0.0,78.8,0,8,0.0,0,0,70.1,2,12,40.0,12,1,2,3,0,9,8,0.8,4.5
Mister Williams,70521,LB,S DIEGO ST,2,23,0,284,0,4.0,0.0,66.7,,6.0,0,0,0.0,50.9,0,,,0,0,39.6,0,6,26.1,9,0,0,1,0,0,0,0.0,,0,0,8.0,0.0,100.0,,13.0,0,0,0.0,74.1,0,,,0,0,39.6,0,15,65.2,15,0,0,1,0,0,0,0.0,
Korey Foreman,70831,ED,FRESNO ST,4,5,0,169,0,,,10.3,,,0,0,,60.4,0,,,0,0,0.0,0,3,60.0,29,0,0,0,0,0,0,0.0,,0,0,11.5,100.0,5.4,1.0,1.0,0,0,0.0,54.2,0,17,100.0,1,0,118.8,2,2,40.0,37,2,0,2,0,33,10,16.5,16.5
Calvin Pitcher,70877,LB,UAB,3,17,0,321,1,,,80.0,,,0,0,,63.5,0,,0.0,0,0,0.0,0,4,23.5,5,1,0,0,0,0,0,0.0,,0,0,6.0,100.0,68.8,11.0,11.0,0,0,0.0,48.9,0,65,100.0,1,0,118.8,1,11,64.7,16,0,0,1,0,65,59,5.9,65.0
Tate Romney,70946,LB,ARIZONA ST,3,14,0,110,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,7.1,1,0,0,0,0,0,0,0.0,,0,0,6.0,0.0,100.0,,5.0,0,1,100.0,77.9,0,,,0,1,39.6,0,5,35.7,5,0,0,1,0,0,0,0.0,
Domani Jackson,71370,CB,ALABAMA,3,55,0,103,0,,,100.0,,,0,0,,66.6,0,,0.0,0,0,0.0,0,8,14.5,8,0,1,0,0,0,0,0.0,,0,0,6.0,0.0,100.0,,40.0,0,0,0.0,64.1,0,,0.0,0,0,39.6,0,42,76.4,42,1,2,1,0,0,0,0.0,
Aaron Smith,71596,CB,NEW MEXICO,1,13,0,241,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,2.0,100.0,100.0,4.5,4.5,0,0,0.0,50.2,0,7,0.0,0,0,89.6,2,9,69.2,9,0,1,2,0,11,7,1.2,5.5
