player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Alex Howard,62494,LB,DUKE,1,27,0,154,0,-4.0,100.0,90.0,9.0,9.0,0,0,0.0,72.3,0,-2,0.0,0,0,79.2,1,9,33.3,10,1,1,1,0,-2,2,-0.2,-2.0,0,0,11.5,100.0,66.7,4.0,4.0,0,0,0.0,63.3,0,18,0.0,0,0,118.8,2,8,29.6,12,2,2,2,0,27,4,3.4,13.5
Barry Brown,62724,LB,COAST CAR,1,29,0,141,0,,,75.0,,,0,0,,61.1,0,,,0,0,0.0,0,3,10.3,4,0,0,0,0,0,0,0.0,,0,0,4.3,75.0,76.0,6.3,4.8,0,0,0.0,65.0,0,28,0.0,0,0,104.2,3,19,65.5,25,1,2,4,0,38,37,2.0,12.7
Korey Foreman,70831,ED,FRESNO ST,1,1,0,169,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,7,0,0,0,0,0,0,,,0,0,,,6.7,,,0,0,,65.8,0,,0.0,0,0,0.0,0,1,100.0,15,1,1,0,0,0,0,0.0,
Tuasivi Nomura,70879,LB,FRESNO ST,1,37,0,169,0,10.0,100.0,66.7,7.0,7.0,0,0,0.0,66.1,0,10,0.0,0,0,108.3,1,8,21.6,12,1,2,1,0,10,0,1.4,10.0,0,0,12.0,100.0,96.0,22.0,22.0,0,0,0.0,64.0,0,20,0.0,0,0,118.8,1,24,64.9,25,1,1,1,0,20,8,0.9,20.0
Domani Jackson,71370,CB,ALABAMA,1,19,0,103,0,4.0,100.0,100.0,2.0,2.0,0,0,0.0,51.1,0,9,100.0,1,0,104.2,1,2,10.5,2,0,0,1,0,9,5,4.5,9.0,0,0,3.5,100.0,100.0,8.0,8.0,0,0,0.0,52.3,0,15,0.0,0,0,104.2,2,16,84.2,16,2,2,2,0,18,11,1.1,9.0
Akili Arnold,71406,S,USC,1,43,0,326,0,11.7,100.0,100.0,5.7,5.7,0,0,0.0,46.3,1,36,0.0,0,0,118.8,3,18,41.9,18,0,1,3,1,45,18,2.6,15.0,0,1,2.0,100.0,100.0,18.0,18.0,0,0,0.0,63.3,0,12,25.0,1,0,116.7,1,18,41.9,18,0,2,1,0,12,10,0.7,12.0
Easton Mascarenas-Arnold,71410,LB,USC,1,28,0,326,1,,,100.0,,,0,0,,57.7,0,,0.0,0,0,0.0,0,15,53.6,15,0,0,0,0,0,0,0.0,,0,0,-4.0,100.0,100.0,9.0,9.0,0,0,0.0,55.1,0,15,0.0,0,0,118.8,1,9,32.1,9,0,1,1,0,15,19,1.7,15.0
Kamren Fabiculanan,72332,S,WASHINGTON,1,20,0,340,0,,,80.0,,,0,0,,61.8,0,,,0,0,0.0,0,4,20.0,5,0,0,0,0,0,0,0.0,,0,0,6.5,50.0,94.1,16.0,8.0,0,0,0.0,57.7,0,9,50.0,1,0,102.1,1,16,80.0,17,1,1,2,1,9,7,0.6,9.0
Raider Damuni,72338,S,BYU,1,25,0,128,0,,,100.0,,,0,0,,61.8,0,,,0,0,0.0,0,3,12.0,3,0,0,0,0,0,0,0.0,,0,0,12.7,66.7,94.1,7.0,4.7,0,0,0.0,43.9,0,2,100.0,1,0,70.1,2,16,64.0,17,1,0,3,0,4,9,0.3,2.0
Lavario Wiley,72769,CB,UNLV,1,15,0,325,0,,,100.0,,,0,0,,64.3,0,,,0,0,0.0,0,6,40.0,6,0,0,0,0,0,0,0.0,,0,0,8.0,100.0,100.0,7.0,7.0,0,0,0.0,67.2,0,8,0.0,0,0,100.0,1,7,46.7,7,0,2,1,0,8,0,1.1,8.0
